timestamp,x,y,z
2109078,0.12,0.12,0.18
2109181,0.18,0.12,0.24
2109283,0.06,0.06,0.12
2109386,0.06,0.12,0.24
2109488,0.18,0.12,0.18
2109591,0.79,-0.31,-0.37
2109693,-0.61,0.37,0.49
2109796,0.31,-0.06,15.56
2109899,0.12,0.18,0.31
2110001,0.24,0.06,0.12
2110104,-0.06,0.18,0.24
2110207,0.12,0.06,0.18
2110309,0.06,0.18,0.31
2110412,0.24,0.12,0.18
2110515,0.0,0.18,0.31
2110618,0.24,0.06,0.12
2110720,0.06,0.18,0.24
2110823,0.18,0.06,0.18
2110926,0.18,0.12,0.24
2111029,0.18,0.12,0.18
2111131,0.18,0.18,0.24
2111234,0.18,0.12,0.18
2111336,0.12,0.12,0.18
2111438,0.18,0.12,0.24
